Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
45,0,121.640694,-78.437599,932.803833,169.382996,28.364485,808.90387,151.955841,24.516623,884.005249,154.866241,88.894363,846.363037,147.823471,171.947769,800.329407,,,,142.716751,397.610077,771.791138,101.338394,393.696106,814.565186,113.004608,294.918732,834.320618,132.561905,481.966949,829.046875
46,0,121.65139,-78.410591,932.77356,169.467972,28.162004,808.529175,152.035736,24.489878,883.663757,155.016495,88.777199,845.833435,148.032318,171.721497,799.535461,,,,142.755432,397.359283,770.643311,101.432007,393.477448,813.469666,113.206863,294.752838,833.361511,132.6185,481.772034,827.796692
47,0,121.662453,-78.384094,932.743408,169.55571,27.951689,808.148254,152.117966,24.459482,883.315735,155.170502,88.653206,845.293091,148.246964,171.484772,798.726196,,,,142.793076,397.097412,769.477112,101.525856,393.247314,812.356995,113.412994,294.576477,832.385376,132.674301,481.565918,826.528076
48,0,121.673904,-78.358147,932.71344,169.646225,27.73337,807.760986,152.202591,24.425308,882.960999,155.328262,88.522186,844.74231,148.467422,171.237259,797.901611,,,,142.829575,396.824188,768.292908,101.619888,393.005371,811.227539,113.623001,294.389252,831.392212,132.729218,481.348236,825.241333
49,0,121.685745,-78.332764,932.683655,169.739578,27.506882,807.367493,152.289612,24.38723,882.599609,155.489807,88.383934,844.180725,148.693726,170.978714,797.061768,,,,142.864914,396.539337,767.090698,101.714035,392.751282,810.081482,113.836876,294.190918,830.382263,132.783234,481.118713,823.936707
50,0,121.69799,-78.307983,932.653992,169.835754,27.272055,806.967773,152.379059,24.345116,882.231506,155.655182,88.238243,843.608521,148.925919,170.708817,796.206482,,,,142.899033,396.242523,765.870789,101.808266,392.48468,808.918762,114.054596,293.981079,829.355652,132.836273,480.876953,822.614502
51,0,121.710648,-78.283844,932.624573,169.93486,27.028721,806.561951,152.470993,24.29884,881.856934,155.824387,88.08493,843.025574,149.164017,170.427292,795.335754,,,,142.931931,395.933502,764.633545,101.902496,392.205322,807.739868,114.276161,293.75943,828.312256,132.888275,480.62265,821.274963
52,0,121.72374,-78.260353,932.595337,170.036865,26.776709,806.150024,152.565384,24.248266,881.475647,155.997467,87.923775,842.431885,149.408066,170.13385,794.449707,,,,142.963516,395.612,763.378906,101.996704,391.912811,806.544922,114.501549,293.525635,827.252441,132.939194,480.355469,819.918457
53,0,121.737259,-78.237549,932.566406,170.141846,26.51585,805.731934,152.662323,24.193274,881.087585,156.174454,87.75457,841.827576,149.658081,169.82814,793.548157,,,,142.993759,395.277679,762.107361,102.090813,391.606903,805.334167,114.730743,293.279388,826.176086,132.988968,480.075043,818.545288
54,0,121.751221,-78.215446,932.537659,170.249771,26.245981,805.308044,152.76178,24.13373,880.693054,156.355301,87.577126,841.212524,149.914108,169.509949,792.631287,,,,143.022675,394.930206,760.819214,102.184769,391.28717,804.10791,114.963737,293.020264,825.083557,133.037598,479.781067,817.155762
55,0,121.76564,-78.194084,932.509277,170.360748,25.966928,804.878174,152.863846,24.069508,880.291931,156.540115,87.391251,840.586792,150.176117,169.178925,791.698853,,,,143.050171,394.569397,759.514587,102.278542,390.953339,802.866394,115.2005,292.747986,823.974915,133.084991,479.473206,815.750366
