Trajectories,,Sholder marker,,,upper arm - tri,,,upper arm - bic1,,,upper arm - bic2,,,Elbow marker,,,,,,Wrist -1 marker,,,Wriste -2 marker,,,,,,Finger ,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
3869,0,108.81266,-60.420307,940.0177,168.477051,0.286129,776.380981,148.040497,25.608946,849.030273,160.289932,66.576927,784.677612,162.245468,120.058685,703.253052,,,,139.637985,340.526245,656.06012,99.470879,343.204315,702.708008,127.561729,246.82785,728.517212,134.973297,434.606445,693.261597
3870,0,108.974892,-60.596722,939.955688,168.90303,-0.957672,775.917297,148.422684,24.88311,848.381348,160.814941,65.374252,783.717834,162.997177,118.261971,701.870483,,,,139.644791,338.646576,654.802429,99.527748,341.224854,701.515625,127.947136,244.940521,727.170532,134.94191,432.692017,691.978516
3871,0,109.136154,-60.776722,939.898987,169.329254,-2.213932,775.465942,148.807343,24.147278,847.740784,161.343353,64.157227,782.768188,163.753433,116.446678,700.501404,,,,139.650085,336.747711,653.575439,99.584091,339.223083,700.354858,128.334396,243.030472,725.847046,134.910751,430.756256,690.730347
3872,0,109.296432,-60.960247,939.847351,169.755493,-3.482344,775.027283,149.194397,23.401634,847.108704,161.874969,62.926098,781.828918,164.513992,114.613274,699.146118,,,,139.653931,334.830078,652.379395,99.639946,337.199554,699.22644,128.723434,241.098129,724.547241,134.879898,428.799469,689.517456
3873,0,109.455673,-61.147266,939.800781,170.181564,-4.762596,774.601257,149.583771,22.646368,846.485352,162.409668,61.681187,780.900391,165.278503,112.762169,697.805054,,,,139.656342,332.894012,651.214539,99.695328,335.154663,698.130371,129.11412,239.143982,723.271423,134.849472,426.822174,688.34021
3874,0,109.613884,-61.337715,939.75946,170.607269,-6.054362,774.18811,149.975357,21.88167,845.870911,162.947235,60.422768,779.982788,166.046753,110.893829,696.478516,,,,139.657303,330.940002,650.081482,99.750298,333.088806,697.067078,129.506424,237.168411,722.019958,134.819519,424.824707,687.198853
3875,0,109.770996,-61.531559,939.723206,171.032394,-7.357309,773.78772,150.369095,21.107737,845.265381,163.487518,59.151154,779.076416,166.81839,109.008736,695.16687,,,,139.656906,328.968445,648.980408,99.804878,331.002502,696.036926,129.900253,235.171967,720.793274,134.790161,422.807617,686.09375
3876,0,109.92701,-61.728741,939.692017,171.456787,-8.671096,773.400391,150.764832,20.324774,844.669006,164.03038,57.866661,778.181335,167.593155,107.107376,693.870667,,,,139.655121,326.979736,647.911682,99.859116,328.89621,695.040222,130.295456,233.155106,719.591492,134.76149,420.77124,685.024963
3877,0,110.081863,-61.929226,939.665894,171.880219,-9.995365,773.026123,151.162537,19.532993,844.081787,164.575577,56.56963,777.297791,168.370682,105.190269,692.590027,,,,139.651978,324.974304,646.87561,99.913071,326.770416,694.077271,130.692017,231.118317,718.415222,134.733582,418.716064,683.993042
3878,0,110.235542,-62.132961,939.644897,172.302521,-11.329759,772.664917,151.562042,18.732609,843.504028,165.12294,55.26038,776.426086,169.150696,103.257912,691.325439,,,,139.647537,322.952698,645.872559,99.966774,324.625671,693.148132,131.089813,229.062164,717.264465,134.706558,416.64267,682.997925
3879,0,110.387993,-62.339905,939.628906,172.72345,-12.673904,772.316895,151.963257,17.923845,842.93573,165.672318,53.939266,775.566345,169.932861,101.310852,690.077209,,,,139.6418,320.915314,644.902832,100.020271,322.462433,692.253418,131.488739,226.987167,716.139832,134.680496,414.551422,682.0401
3880,0,110.5392,-62.550007,939.617859,173.142899,-14.027418,771.982056,152.366104,17.106926,842.377136,166.22345,52.606655,774.718811,170.716873,99.349648,688.845642,,,,139.634796,318.86264,643.966553,100.073647,320.281342,691.393005,131.888718,224.89389,715.041504,134.655472,412.442902,681.119629
3881,0,110.68911,-62.763237,939.611877,173.560593,-15.389914,771.660583,152.770416,16.282093,841.828247,166.77623,51.262909,773.883728,171.50238,97.374847,687.630981,,,,139.626556,316.795258,643.06427,100.126915,318.082855,690.567505,132.289642,222.782883,713.969788,134.631638,410.317627,680.236816
3882,0,110.837677,-62.979542,939.610779,173.976379,-16.760988,771.352417,153.176102,15.44958,841.289307,167.330399,49.908405,773.061218,172.289124,95.387047,686.433716,,,,139.617126,314.713654,642.195984,100.180138,315.867645,689.776917,132.691452,220.654739,712.924866,134.609009,408.176086,679.391785
3883,0,110.984871,-63.198879,939.614624,174.39003,-18.140242,771.057495,153.583008,14.609638,840.760315,167.885788,48.543541,772.251465,173.076706,93.386841,685.254089,,,,139.606506,312.618378,641.362122,100.23336,313.636169,689.021484,133.094009,218.510071,711.907104,134.587738,406.018921,678.584839
3884,0,111.13063,-63.421204,939.623352,174.801422,-19.52725,770.77594,153.991028,13.762523,840.241394,168.4422,47.168713,771.454773,173.864838,91.374847,684.092346,,,,139.594742,310.509857,640.562866,100.286644,311.38916,688.301392,133.497238,216.349518,710.916626,134.567841,403.846649,677.816101
3885,0,111.27494,-63.646481,939.636963,175.210342,-20.921595,770.507751,154.40004,12.908488,839.732788,168.999451,45.784336,770.671143,174.653198,89.351669,682.948792,,,,139.581879,308.388794,639.798523,100.340027,309.127136,687.616943,133.901047,214.173676,709.953979,134.549438,401.65979,677.085754
3886,0,111.417755,-63.87466,939.655334,175.616577,-22.322847,770.252869,154.809875,12.0478,839.234436,169.557297,44.390816,769.900818,175.441452,87.317947,681.823547,,,,139.567902,306.255737,639.069214,100.393547,306.850708,686.96814,134.305313,211.983185,709.018982,134.532578,399.459015,676.393982
3887,0,111.558998,-64.105698,939.678467,176.019974,-23.73056,770.011353,155.220444,11.180726,838.74646,170.115585,42.988594,769.143982,176.229294,85.274345,680.717102,,,,139.552856,304.111206,638.375183,100.447258,304.560547,686.355286,134.709976,209.778748,708.112244,134.517319,397.244873,675.741028
3888,0,111.698639,-64.339569,939.706421,176.420349,-25.144295,769.783264,155.631592,10.307536,838.269104,170.674118,41.578106,768.400818,177.016388,83.221527,679.6297,,,,139.536804,301.955841,637.716553,100.501198,302.257233,685.778625,135.114883,207.560989,707.233643,134.503677,395.017944,675.126892
3889,0,111.836639,-64.576218,939.739075,176.817505,-26.563593,769.568298,156.043152,9.42851,837.802429,171.232635,40.159798,767.671509,177.802444,81.160156,678.561401,,,,139.51973,299.790253,637.093689,100.555405,299.941498,685.237976,135.519974,205.330597,706.383667,134.49176,392.778961,674.551819
3890,0,111.972954,-64.81559,939.776306,177.211319,-27.987995,769.366821,156.455048,8.543921,837.346375,171.791031,38.734127,766.956177,178.587097,79.090942,677.512451,,,,139.501724,297.615082,636.506531,100.609901,297.613983,684.733765,135.925095,203.088272,705.562317,134.481552,390.528442,674.015991
3891,0,112.107506,-65.057648,939.818115,177.601608,-29.417034,769.178467,156.867065,7.654057,836.901062,172.349045,37.301552,766.254822,179.370071,77.014572,676.483276,,,,139.482758,295.430939,635.955444,100.664726,295.275238,684.265991,136.3302,200.834686,704.769714,134.473099,388.267029,673.51947
3892,0,112.24028,-65.302361,939.864624,177.988174,-30.850237,769.003296,157.279114,6.759204,836.466614,172.906525,35.862545,765.56781,180.151077,74.931778,675.473877,,,,139.462875,293.238464,635.440613,100.719925,292.926056,683.834656,136.735168,198.570602,704.006226,134.466461,385.995453,673.062439
3893,0,112.371201,-65.549667,939.915588,178.370911,-32.287121,768.841187,157.69104,5.859654,836.043091,173.463242,34.417595,764.895203,180.929749,72.843277,674.484558,,,,139.442123,291.0383,634.962036,100.77552,290.567047,683.440002,137.139893,196.296722,703.271851,134.461578,383.714294,672.644958
3894,0,112.500214,-65.799522,939.970947,178.749603,-33.727215,768.692261,158.102707,4.955702,835.630615,174.019028,32.967178,764.237061,181.705856,70.749786,673.515381,,,,139.420502,288.831116,634.519897,100.83152,288.198883,683.082092,137.54422,194.013733,702.566772,134.458542,381.424225,672.267334
3895,0,112.627274,-66.05188,940.030945,179.124176,-35.17001,768.556213,158.513931,4.047649,835.229126,174.573654,31.511799,763.593567,182.479095,68.652069,672.566589,,,,139.398056,286.617645,634.114319,100.887978,285.822296,682.760925,137.948074,191.722412,701.891052,134.457352,379.125885,671.929382
3896,0,112.75235,-66.306671,940.095215,179.494431,-36.615032,768.433167,158.924622,3.1358,834.838745,175.126984,30.051954,762.964783,183.249176,66.55088,671.638489,,,,139.374802,284.398438,633.745422,100.944901,283.437958,682.476624,138.351349,189.423462,701.244934,134.457947,376.820007,671.631348
3897,0,112.875351,-66.563873,940.163818,179.860229,-38.061775,768.322876,159.33461,2.220461,834.459473,175.678802,28.588146,762.350769,184.015778,64.446983,670.730957,,,,139.350769,282.174255,633.413391,101.002296,281.04657,682.229248,138.753952,187.11763,700.628418,134.460373,374.507202,671.373291
3898,0,112.996239,-66.823425,940.236755,180.221466,-39.509743,768.225342,159.743744,1.301946,834.091492,176.228943,27.120892,761.75177,184.778671,62.341145,669.844299,,,,139.325989,279.945801,633.118164,101.060219,278.648834,682.018616,139.155716,184.80571,700.041504,134.464615,372.188171,671.155457
3899,0,113.114952,-67.085251,940.313965,180.578003,-40.958435,768.140442,160.151886,0.38057,833.73468,176.777176,25.650709,761.167786,185.537613,60.234146,668.978638,,,,139.300476,277.713684,632.859863,101.118637,276.245422,681.845032,139.55658,182.488403,699.484497,134.470642,369.863617,670.977722
3900,0,113.231445,-67.349319,940.395386,180.929703,-42.407326,768.067871,160.558868,-0.543347,833.389221,177.323349,24.178123,760.598816,186.292282,58.12677,668.133911,,,,139.274277,275.478699,632.638611,101.177612,273.837067,681.708313,139.956421,180.166489,698.957275,134.478455,367.53421,670.840271
3901,0,113.34565,-67.615578,940.480957,181.276489,-43.855923,768.007874,160.964554,-1.469484,833.054993,177.86731,22.703657,760.045166,187.042465,56.01981,667.310547,,,,139.24736,273.241425,632.454529,101.237114,271.424408,681.608643,140.355103,177.840714,698.4599,134.487991,365.200684,670.743042
3902,0,113.45752,-67.883942,940.570679,181.618195,-45.303707,767.960022,161.36879,-2.397516,832.732117,178.408813,21.227846,759.506653,187.787903,53.914059,666.508301,,,,139.219757,271.002716,632.307495,101.297165,269.008209,681.545715,140.752548,175.511856,697.992493,134.499191,362.863586,670.686218
3903,0,113.567001,-68.154373,940.664429,181.954773,-46.750153,767.924194,161.771439,-3.327118,832.420654,178.947754,19.751221,758.983398,188.528381,51.810326,665.727417,,,,139.191544,268.763092,632.197693,101.357765,266.589203,681.519836,141.148621,173.180649,697.554993,134.512085,360.523773,670.669922
3904,0,113.674011,-68.426804,940.762146,182.286102,-48.194759,767.90033,162.172333,-4.257958,832.120483,179.483902,18.274328,758.475464,189.263672,49.709408,664.967957,,,,139.162659,266.523407,632.124939,101.418922,264.16803,681.53064,141.543259,170.8479,697.147522,134.52655,358.181793,670.69397
3905,0,113.778534,-68.701172,940.864014,182.612076,-49.63699,767.888306,162.571335,-5.189706,831.831665,180.017151,16.797705,757.983032,189.99353,47.612125,664.229858,,,,139.133163,264.284332,632.089478,101.480629,261.745361,681.578369,141.93631,168.514328,696.77002,134.542557,355.83844,670.758667
3906,0,113.88047,-68.977425,940.969666,182.932632,-51.076332,767.887817,162.968292,-6.122026,831.554321,180.547287,15.321901,757.50592,190.717789,45.519279,663.513306,,,,139.103073,262.046509,632.091309,101.542877,259.321991,681.662842,142.327698,166.18071,696.422424,134.560013,353.494385,670.86377
3907,0,113.97979,-69.255486,941.079224,183.247681,-52.512257,767.898926,163.363068,-7.054584,831.288208,181.074158,13.847464,757.044312,191.436234,43.43169,662.818176,,,,139.072357,259.81073,632.130188,101.605652,256.898529,681.783997,142.717285,163.847824,696.104675,134.578873,351.150177,671.009399
3908,0,114.076431,-69.535324,941.192627,183.557175,-53.944252,767.921265,163.755524,-7.987039,831.033569,181.597626,12.374942,756.598083,192.148666,41.350163,662.144592,,,,139.041077,257.577637,632.20636,101.668968,254.475677,681.941711,143.105026,161.516403,695.816895,134.598984,348.806671,671.195618
3909,0,114.170334,-69.816841,941.309814,183.861038,-55.371788,767.954712,164.145477,-8.919054,830.790344,182.117508,10.90489,756.167419,192.854965,39.27552,661.492615,,,,139.009216,255.347885,632.319702,101.732773,252.054123,682.135925,143.490784,159.187195,695.558838,134.620346,346.464447,671.422485
3910,0,114.261436,-70.099998,941.430664,184.159225,-56.794346,767.999084,164.532806,-9.850285,830.55835,182.633682,9.437859,755.752136,193.554932,37.208569,660.862,,,,138.976776,253.122208,632.470154,101.797073,249.634552,682.366577,143.874481,156.860977,695.330688,134.642761,344.124237,671.689819
3911,0,114.349693,-70.384735,941.555298,184.45166,-58.211407,768.054321,164.917374,-10.780393,830.337891,183.145996,7.974402,755.352417,194.248459,35.150124,660.252991,,,,138.943771,250.901337,632.657593,101.861832,247.21759,682.633484,144.256042,154.538513,695.132141,134.666199,341.786621,671.99762
3912,0,114.435043,-70.670959,941.683533,184.738342,-59.622452,768.120117,165.299042,-11.709034,830.128662,183.654327,6.515072,754.96814,194.935333,33.101002,659.665344,,,,138.910202,248.685913,632.88208,101.92704,244.803986,682.936523,144.635315,152.22049,694.963135,134.690506,339.452362,672.345947
3913,0,114.517433,-70.958641,941.815369,185.019211,-61.02697,768.196289,165.677689,-12.63587,829.930786,184.158524,5.060422,754.599365,195.615479,31.062006,659.099304,,,,138.876068,246.476624,633.143433,101.992676,242.394318,683.275635,145.012268,149.907684,694.82373,134.715576,337.121979,672.734741
3914,0,114.596825,-71.247704,941.950684,185.29422,-62.424435,768.282654,166.053146,-13.560559,829.74408,184.658447,3.611002,754.246033,196.288788,29.033951,658.554504,,,,138.841324,244.274124,633.44165,102.058678,239.989258,683.650696,145.38678,147.6008,694.713684,134.741257,334.796265,673.163818
3915,0,114.673141,-71.538094,942.089417,185.563431,-63.814358,768.379028,166.425308,-14.482764,829.568787,185.154007,2.167364,753.908142,196.955124,27.017639,658.031128,,,,138.80603,242.079102,633.776611,102.125046,237.589447,684.061279,145.758789,145.300598,694.632996,134.767441,332.475769,673.633423
3916,0,114.746338,-71.829735,942.231689,185.826736,-65.196213,768.485168,166.794037,-15.402148,829.404724,185.64505,0.730056,753.585754,197.614395,25.013874,657.528931,,,,138.770157,239.892197,634.148193,102.19175,235.195511,684.507629,146.128204,143.007767,694.581421,134.793991,330.161194,674.143127
3917,0,114.816376,-72.122597,942.377319,186.084183,-66.569519,768.601074,167.15918,-16.318375,829.251831,186.13147,-0.700378,753.278625,198.266525,23.023445,657.048035,,,,138.733704,237.714066,634.556152,102.258743,232.808105,684.989197,146.494949,140.723038,694.558899,134.82077,327.853058,674.693115
3918,0,114.883194,-72.416588,942.526306,186.335739,-67.933769,768.726318,167.520676,-17.23111,829.110107,186.61319,-2.123394,752.986877,198.911392,21.047144,656.588257,,,,138.696625,235.545364,635.000671,102.325989,230.427811,685.505981,146.858948,138.447098,694.565247,134.847641,325.552032,675.283142
3919,0,114.946747,-72.711685,942.678528,186.581451,-69.28846,768.860718,167.878342,-18.140028,828.979492,187.090073,-3.538456,752.710327,199.548996,19.085754,656.149536,,,,138.658951,233.386688,635.481323,102.393478,228.055283,686.0578,147.220093,136.180634,694.600281,134.874451,323.258759,675.913086
3920,0,115.006981,-73.007805,942.833984,186.821304,-70.633118,769.00415,168.232132,-19.04479,828.859985,187.562012,-4.945028,752.449158,200.179184,17.140049,655.731689,,,,138.620667,231.238708,635.998047,102.461151,225.69104,686.644409,147.578308,133.924347,694.66394,134.901031,320.973755,676.583069
3921,0,115.063866,-73.304924,942.992676,187.055328,-71.96727,769.156372,168.581863,-19.945086,828.751526,188.028961,-6.342582,752.203125,200.801956,15.210796,655.334717,,,,138.581711,229.10199,636.55072,102.528984,223.335693,687.265503,147.933578,131.678925,694.75592,134.927292,318.697601,677.292664
3922,0,115.117355,-73.602959,943.15448,187.283554,-73.290413,769.3172,168.927444,-20.840584,828.654053,188.490784,-7.730596,751.972168,201.417236,13.298754,654.958435,,,,138.542099,226.977158,637.13916,102.596939,220.989868,687.920959,148.285767,129.445007,694.87616,134.953003,316.430969,678.04187
3923,0,115.167397,-73.901894,943.319397,187.506012,-74.602104,769.48645,169.268799,-21.73097,828.567566,188.947403,-9.108552,751.756348,202.024979,11.404665,654.602783,,,,138.501831,224.864746,637.763062,102.66497,218.654068,688.610474,148.634827,127.223236,695.024292,134.978073,314.174255,678.830627
3924,0,115.213943,-74.201668,943.487366,187.722733,-75.901878,769.663818,169.605804,-22.615942,828.491943,189.398773,-10.475939,751.555481,202.625168,9.529269,654.267578,,,,138.460861,222.765366,638.422363,102.733032,216.328842,689.333862,148.980713,125.014259,695.200256,135.002304,311.928162,679.658569
3925,0,115.256981,-74.50222,943.658203,187.933762,-77.189278,769.849121,169.938354,-23.495182,828.427124,189.844803,-11.832257,751.369629,203.217789,7.67329,653.952637,,,,138.419159,220.679581,639.116821,102.801094,214.014755,690.090759,149.323318,122.818733,695.40387,135.025543,309.693054,680.525696
3926,0,115.29644,-74.803543,943.832214,188.13913,-78.463852,770.042053,170.266357,-24.368399,828.373169,190.285416,-13.177011,751.198608,203.802765,5.837441,653.657959,,,,138.376709,218.60791,639.846191,102.869095,211.71228,690.880981,149.662598,120.637245,695.634766,135.047668,307.469604,681.431763
3927,0,115.332298,-75.105576,944.009033,188.338913,-79.725182,770.242554,170.589737,-25.235289,828.329956,190.720535,-14.509711,751.042297,204.380112,4.022422,653.383301,,,,138.333481,216.550873,640.610291,102.936996,209.421982,691.704224,149.99852,118.470398,695.892944,135.068481,305.25824,682.376709
3928,0,115.36451,-75.408295,944.18866,188.533127,-80.972832,770.450317,170.908356,-26.095562,828.297363,191.150116,-15.829882,750.900757,204.949799,2.228922,653.12854,,,,138.289474,214.509003,641.408752,103.004761,207.144302,692.560059,150.330978,116.318802,696.177917,135.087799,303.059448,683.360107
3929,0,115.393044,-75.711655,944.371155,188.721848,-82.206398,770.6651,171.222183,-26.948935,828.275513,191.574081,-17.137054,750.773743,205.511841,0.457617,652.893616,,,,138.244629,212.482788,642.241333,103.072319,204.879791,693.448425,150.659927,114.182999,696.489441,135.105515,300.873718,684.381836
3930,0,115.41787,-76.015625,944.556335,188.905167,-83.425461,770.886719,171.531097,-27.795124,828.263977,191.992401,-18.430769,750.661255,206.066238,-1.290833,652.678101,,,,138.198959,210.472763,643.107971,103.139641,202.628815,694.368774,150.985352,112.063583,696.827454,135.121414,298.701538,685.441711
3931,0,115.43895,-76.320175,944.744263,189.083099,-84.629646,771.114868,171.835007,-28.633862,828.263123,192.405014,-19.710577,750.56311,206.612976,-3.015779,652.481995,,,,138.152374,208.479324,644.008179,103.20668,200.391922,695.320984,151.307144,109.96109,697.191589,135.135361,296.543304,686.539551
3932,0,115.456268,-76.625305,944.934814,189.255707,-85.818558,771.349487,172.13385,-29.46487,828.272522,192.811844,-20.976034,750.479187,207.152084,-4.716587,652.305054,,,,138.104904,206.502991,644.941772,103.273392,198.169495,696.304565,151.62529,107.876053,697.581604,135.147202,294.399475,687.674927
3933,0,115.469772,-76.930946,945.128052,189.42308,-86.991852,771.590149,172.427551,-30.287895,828.292236,193.212891,-22.226717,750.409485,207.683578,-6.392636,652.147217,,,,138.056503,204.544189,645.908325,103.339714,195.96199,697.319275,151.939743,105.808998,697.99707,135.156754,292.270477,688.847717
3934,0,115.479446,-77.237122,945.323792,189.585297,-88.149162,771.836792,172.716003,-31.102674,828.322205,193.608109,-23.462202,750.35376,208.207474,-8.043322,652.00824,,,,138.007141,202.603333,646.907776,103.40564,193.769806,698.364624,152.250473,103.760422,698.437805,135.163864,290.156738,690.057678
3935,0,115.48526,-77.543793,945.522034,189.742447,-89.290154,772.089172,172.999176,-31.908958,828.362427,193.997421,-24.682083,750.311951,208.723785,-9.668055,651.887756,,,,137.956787,200.680862,647.939636,103.471107,191.593369,699.440369,152.557419,101.730812,698.903625,135.168365,288.058655,691.304382
3936,0,115.487198,-77.850952,945.722656,189.894562,-90.414513,772.347107,173.276978,-32.706505,828.412598,194.380829,-25.885956,750.283936,209.232559,-11.266259,651.785767,,,,137.905426,198.777191,649.003601,103.536079,189.433044,700.546082,152.860519,99.720665,699.393982,135.17012,285.976624,692.587646
3937,0,115.485237,-78.158577,945.92572,190.041748,-91.521919,772.610168,173.549332,-33.495075,828.472717,194.758316,-27.073437,750.269653,209.73381,-12.837379,651.702087,,,,137.853012,196.892685,650.099426,103.600525,187.289215,701.681519,153.159775,97.730431,699.908813,135.168976,283.91095,693.907227
3938,0,115.47934,-78.466675,946.131042,190.184082,-92.612076,772.878479,173.816193,-34.274445,828.542908,195.129807,-28.244146,750.268799,210.227631,-14.380869,651.636353,,,,137.799576,195.02771,651.226685,103.664406,185.162247,702.846191,153.455185,95.760559,700.447571,135.16478,281.862091,695.262573
3939,0,115.469505,-78.77523,946.338623,190.321686,-93.684708,773.15155,174.077469,-35.044384,828.622681,195.495316,-29.39772,750.281311,210.713989,-15.896203,651.588562,,,,137.745071,193.182632,652.385132,103.727684,183.05249,704.039673,153.746658,93.811508,701.010071,135.15741,279.830292,696.653503
3940,0,115.455719,-79.084236,946.548462,190.454605,-94.739555,773.429382,174.33313,-35.804676,828.712341,195.854828,-30.533798,750.307129,211.192963,-17.382875,651.558289,,,,137.689438,191.357773,653.574219,103.790344,180.960312,705.261719,154.03421,91.88369,701.595825,135.146713,277.815979,698.079651
3941,0,115.437958,-79.393677,946.760437,190.582932,-95.77636,773.71167,174.583099,-36.55513,828.811584,196.208298,-31.65204,750.346069,211.664597,-18.840387,651.54541,,,,137.632721,189.553528,654.793823,103.852356,178.886032,706.51178,154.317825,89.977509,702.204773,135.132553,275.819458,699.540588
3942,0,115.416206,-79.703583,946.974426,190.706757,-96.794861,773.998291,174.827332,-37.295544,828.920227,196.555725,-32.752113,750.397949,212.128967,-20.268267,651.549683,,,,137.57489,187.770142,656.043335,103.913681,176.829971,707.789551,154.597473,88.093369,702.836304,135.114807,273.840973,701.036072
3943,0,115.390457,-80.013939,947.190613,190.826187,-97.794846,774.28894,175.065781,-38.025723,829.038391,196.897095,-33.833694,750.462524,212.58609,-21.666058,651.570984,,,,137.51593,186.007965,657.322571,103.974304,174.792404,709.094543,154.873154,86.231667,703.490051,135.093353,271.88089,702.565735
3944,0,115.360703,-80.32473,947.408691,190.941315,-98.776077,774.583557,175.298416,-38.745483,829.165771,197.232376,-34.896469,750.539856,213.035995,-23.033314,651.608948,,,,137.455856,184.267258,658.631042,104.03421,172.773697,710.426392,155.144836,84.392746,704.165955,135.068069,269.939484,704.128967
3945,0,115.326927,-80.635994,947.628601,191.052231,-99.738365,774.881897,175.525192,-39.454666,829.302368,197.561615,-35.940147,750.629578,213.478821,-24.36961,651.663452,,,,137.394592,182.548279,659.968323,104.093376,170.774139,711.784607,155.412521,82.577003,704.863281,135.038864,268.01709,705.725647
3946,0,115.289139,-80.947723,947.850525,191.158997,-100.681496,775.183655,175.746017,-40.153095,829.448059,197.884766,-36.964447,750.731689,213.914551,-25.674545,651.734192,,,,137.332214,180.851318,661.333923,104.151794,168.793945,713.168762,155.676224,80.78476,705.58197,135.005646,266.113922,707.355225
3947,0,115.247322,-81.259918,948.074158,191.261719,-101.605286,775.48877,175.960907,-40.840611,829.602722,198.201859,-37.969078,750.846008,214.343246,-26.947731,651.821045,,,,137.268692,179.176651,662.727539,104.209442,166.83345,714.578369,155.935944,79.01638,706.32135,134.968292,264.230225,709.01709
3948,0,115.201477,-81.572601,948.2995,191.360519,-102.509567,775.796997,176.16983,-41.517071,829.766235,198.512863,-38.953793,750.972412,214.76503,-28.188791,651.923584,,,,137.204025,177.524445,664.14856,104.266327,164.892899,716.013,156.191666,77.272163,707.081299,134.926758,262.366272,710.711182
3949,0,115.151611,-81.885773,948.526672,191.455429,-103.394157,776.108276,176.372742,-42.182331,829.938538,198.81781,-39.918335,751.110535,215.179871,-29.397373,652.041931,,,,137.138199,175.895004,665.596802,104.322449,162.972549,717.472168,156.443375,75.552429,707.86145,134.88092,260.522278,712.436646
3950,0,115.097725,-82.19944,948.755371,191.54657,-104.258911,776.422119,176.56958,-42.83625,830.119446,199.116669,-40.862469,751.260437,215.587936,-30.573147,652.175476,,,,137.071274,174.288559,667.071594,104.377808,161.072678,718.955444,156.691116,73.857483,708.661133,134.830734,258.698578,714.193298
3951,0,115.039803,-82.513611,948.985657,191.634048,-105.103676,776.73877,176.760376,-43.478703,830.308838,199.40947,-41.785961,751.421936,215.989182,-31.715788,652.324341,,,,137.00325,172.705322,668.57251,104.432404,159.193497,720.46228,156.934906,72.187622,709.480225,134.776138,256.895294,715.980469
3952,0,114.977859,-82.828308,949.217468,191.717941,-105.928345,777.057617,176.945068,-44.109573,830.506714,199.696213,-42.688606,751.594788,216.383759,-32.824993,652.487976,,,,136.934174,171.145569,670.099121,104.486252,157.335266,721.992065,157.174728,70.543137,710.318176,134.717102,255.112732,717.797729
3953,0,114.911896,-83.143532,949.450745,191.798325,-106.732788,777.378784,177.123672,-44.728745,830.712891,199.976898,-43.570202,751.77887,216.771667,-33.90049,652.666382,,,,136.864136,169.609558,671.65094,104.539375,155.49823,723.544556,157.410614,68.924286,711.174683,134.65358,253.351059,719.644531
3954,0,114.841934,-83.459305,949.685425,191.875336,-107.516891,777.702026,177.296112,-45.336124,830.927368,200.251541,-44.430542,751.973999,217.153,-34.941998,652.859314,,,,136.793152,168.097534,673.227478,104.591782,153.682617,725.118958,157.642593,67.331352,712.049255,134.585541,251.610458,721.520447
3955,0,114.767967,-83.775612,949.921448,191.949036,-108.280548,778.027161,177.462448,-45.931599,831.14978,200.520172,-45.269455,752.179993,217.527802,-35.94928,653.066589,,,,136.721313,166.609756,674.828369,104.643517,151.888641,726.714844,157.870697,65.764565,712.941589,134.51297,249.891205,723.424805
3956,0,114.689987,-84.092468,950.158752,192.019516,-109.023682,778.354126,177.622604,-46.515095,831.380127,200.782776,-46.086769,752.39679,217.896164,-36.922096,653.287903,,,,136.648651,165.146378,676.452942,104.694588,150.116516,728.331726,158.09491,64.224174,713.851135,134.435883,248.19342,725.357056
3957,0,114.608032,-84.409882,950.3974,192.086884,-109.746185,778.682617,177.776596,-47.086521,831.618286,201.039352,-46.882328,752.624084,218.258118,-37.860237,653.52301,,,,136.575256,163.707672,678.100708,104.745064,148.366501,729.969116,158.315323,62.710434,714.77771,134.354233,246.517349,727.316589
3958,0,114.52211,-84.727867,950.637146,192.15123,-110.448013,779.012573,177.924393,-47.645805,831.864197,201.289963,-47.655975,752.861938,218.613724,-38.763508,653.771851,,,,136.501144,162.293839,679.77124,104.794945,146.638733,731.626404,158.531937,61.223553,715.720703,134.268097,244.863129,729.302917
3959,0,114.432205,-85.04641,950.878174,192.212646,-111.129082,779.343811,178.06601,-48.192875,832.117676,201.534592,-48.40757,753.109924,218.963104,-39.631725,654.03418,,,,136.426437,160.905029,681.463989,104.844284,144.933502,733.302979,158.744781,59.76376,716.679871,134.177429,243.230942,731.315369
3960,0,114.338364,-85.365524,951.120178,192.27121,-111.78933,779.67627,178.201447,-48.727661,832.378479,201.773285,-49.13699,753.368164,219.306244,-40.464725,654.309814,,,,136.351135,159.541489,683.178467,104.893143,143.250977,734.998352,158.953918,58.331257,717.654724,134.082321,241.620987,733.353455
