Trajectories
200
,,m10:RSHO,,,m10:RUPA,,,m10:RUPB,,,m10:RUPC,,,m10:RELB,,,m10:RMEP,,,m10:RWRA,,,m10:RWRB,,,m10:RFRA,,,m10:RFIN,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
41,0,274.788696,-34.911316,936.557922,330.451813,74.990952,827.587952,309.790192,65.688042,902.335083,316.786530,132.205734,871.620605,315.264648,221.199448,837.698853,,,,303.511871,447.811676,837.379333,262.306580,441.077209,879.308960,274.501007,338.427399,883.912170,304.754730,525.823547,900.446167
42,0,274.793488,-34.891121,936.536194,330.501709,74.894676,827.309021,309.858826,65.706200,902.088745,316.910583,132.182861,871.244751,315.426880,221.149155,837.112610,,,,303.406128,447.765381,836.655945,262.265747,441.006439,878.643311,274.613647,338.389099,883.297485,304.670044,525.765564,899.713806
43,0,274.798859,-34.871181,936.513855,330.553711,74.793152,827.022400,309.929535,65.722855,901.835022,317.038116,132.156509,870.857605,315.594360,221.093048,836.509216,,,,303.299255,447.713104,835.911499,262.224701,440.928925,877.958435,274.729675,338.345184,882.664673,304.584198,525.700928,898.961060
44,0,274.805054,-34.851513,936.490845,330.607910,74.686226,826.727966,310.002411,65.737892,901.573792,317.169098,132.126480,870.458984,315.767029,221.030792,835.888733,,,,303.191284,447.654572,835.145874,262.183502,440.844482,877.253967,274.848969,338.295471,882.013184,304.497314,525.629517,898.187561
45,0,274.811890,-34.832161,936.467346,330.664368,74.573723,826.425903,310.077423,65.751236,901.304871,317.303558,132.092621,870.048889,315.944977,220.962173,835.250916,,,,303.082275,447.589447,834.358887,262.142151,440.752716,876.529663,274.971710,338.239685,881.343140,304.409332,525.550964,897.393311
46,0,274.819550,-34.813148,936.443176,330.723083,74.455475,826.115784,310.154633,65.762764,901.028381,317.441559,132.054794,869.626953,316.128265,220.886917,834.595520,,,,302.972382,447.517548,833.550293,262.100739,440.653412,875.785461,275.097839,338.177521,880.654053,304.320374,525.465027,896.577881
47,0,274.828003,-34.794510,936.418396,330.784088,74.331284,825.797729,310.234070,65.772385,900.744141,317.583069,132.012787,869.193176,316.316864,220.804718,833.922302,,,,302.861633,447.438477,832.719910,262.059174,440.546204,875.020996,275.227448,338.108765,879.945801,304.230408,525.371338,895.741211
48,0,274.837280,-34.776276,936.393005,330.847382,74.200989,825.471497,310.315765,65.779976,900.451965,317.728119,131.966446,868.747437,316.510956,220.715378,833.231140,,,,302.750092,447.351929,831.867676,262.017639,440.430969,874.236084,275.360596,338.033173,879.218201,304.139587,525.269714,894.883118
49,0,274.847412,-34.758480,936.367065,330.913086,74.064400,825.137268,310.399658,65.785431,900.151855,317.876770,131.915588,868.289551,316.710419,220.618530,832.521973,,,,302.637878,447.257538,830.993469,261.976135,440.307190,873.430664,275.497223,337.950378,878.471069,304.047852,525.159729,894.003357
50,0,274.858459,-34.741158,936.340454,330.981201,73.921333,824.794678,310.485809,65.788643,899.843689,318.028992,131.860031,867.819336,316.915375,220.513931,831.794434,,,,302.525055,447.155121,830.097107,261.934631,440.174744,872.604370,275.637451,337.860168,877.704102,303.955383,525.041016,893.101685
51,0,274.870361,-34.724331,936.313232,331.051697,73.771606,824.443787,310.574280,65.789474,899.527283,318.184784,131.799606,867.336609,317.125793,220.401291,831.048340,,,,302.411743,447.044189,829.178406,261.893280,440.033264,871.757141,275.781281,337.762207,876.917114,303.862122,524.913574,892.177979
52,0,274.883209,-34.708046,936.285339,331.124695,73.615028,824.084473,310.665039,65.787834,899.202820,318.344238,131.734131,866.841431,317.341736,220.280304,830.283691,,,,302.298004,446.924500,828.237366,261.851990,439.882385,870.888672,275.928741,337.656219,876.110046,303.768158,524.776733,891.232178
53,0,274.897034,-34.692329,936.256775,331.200165,73.451439,823.716614,310.758179,65.783600,898.869995,318.507263,131.663391,866.333557,317.563202,220.150665,829.500244,,,,302.183990,446.795715,827.273865,261.810944,439.721924,869.998840,276.079803,337.541931,875.282593,303.673584,524.630432,890.264038
54,0,274.911865,-34.677212,936.227478,331.278107,73.280624,823.340332,310.853638,65.776627,898.528748,318.673950,131.587204,865.812805,317.790253,220.012085,828.697876,,,,302.069763,446.657440,826.287720,261.770111,439.551422,869.087524,276.234619,337.419067,874.434570,303.578461,524.474182,889.273376
55,0,274.927643,-34.662727,936.197632,331.358612,73.102425,822.955505,310.951447,65.766800,898.179016,318.844238,131.505402,865.279114,318.022827,219.864227,827.876404,,,,301.955383,446.509399,825.279053,261.729523,439.370636,868.154480,276.393158,337.287262,873.565979,303.482819,524.307800,888.260193
56,0,274.944550,-34.648914,936.167053,331.441650,72.916618,822.561951,311.051605,65.753998,897.820740,319.018188,131.417725,864.732422,318.260925,219.706848,827.035583,,,,301.841034,446.351227,824.247559,261.689270,439.179169,867.199585,276.555389,337.146179,872.676575,303.386749,524.130737,887.224121
57,0,274.962494,-34.635796,936.135620,331.527252,72.723045,822.159790,311.154175,65.738083,897.453857,319.195740,131.323990,864.172546,318.504608,219.539566,826.175598,,,,301.726746,446.182526,823.193237,261.649445,438.976837,866.222717,276.721436,336.995605,871.766113,303.290314,523.942871,886.165405
58,0,274.981506,-34.623413,936.103638,331.615479,72.521515,821.748840,311.259155,65.718933,897.078186,319.376984,131.224014,863.599426,318.753815,219.362076,825.296021,,,,301.612671,446.002991,822.116211,261.610016,438.763184,865.223694,276.891266,336.835114,870.834595,303.193573,523.743896,885.083618
59,0,275.001678,-34.611790,936.070801,331.706299,72.311844,821.329163,311.366486,65.696419,896.693909,319.561798,131.117599,863.012878,319.008545,219.174088,824.396973,,,,301.498962,445.812256,821.016174,261.571014,438.537933,864.202515,277.064819,336.664490,869.881897,303.096619,523.533142,883.978760
60,0,275.022949,-34.600967,936.037231,331.799683,72.093819,820.900757,311.476257,65.670418,896.300720,319.750275,131.004501,862.412842,319.268799,218.975266,823.478210,,,,301.385681,445.609955,819.893311,261.532623,438.300690,863.158936,277.242249,336.483398,868.907776,302.999542,523.310669,882.850830
61,0,275.045441,-34.590965,936.002869,331.895782,71.867287,820.463440,311.588470,65.640770,895.898682,319.942322,130.884491,861.799377,319.534546,218.765274,822.539673,,,,301.272888,445.395752,818.747437,261.494812,438.051208,862.092834,277.423462,336.291443,867.912292,302.902466,523.075867,881.699707
62,0,275.069153,-34.581821,935.967712,331.994476,71.632042,820.017334,311.703064,65.607361,895.487793,320.137970,130.757401,861.172119,319.805725,218.543777,821.581421,,,,301.160828,445.169250,817.578674,261.457672,437.789124,861.004150,277.608521,336.088287,866.895203,302.805359,522.828491,880.525208
63,0,275.094055,-34.573563,935.931702,332.095764,71.387909,819.562317,311.820099,65.570038,895.067871,320.337219,130.623016,860.531189,320.082306,218.310471,820.603210,,,,301.049561,444.930115,816.386902,261.421265,437.514069,859.892944,277.797394,335.873688,865.856506,302.708435,522.568237,879.327454
64,0,275.120239,-34.566219,935.894836,332.199738,71.134712,819.098450,311.939545,65.528687,894.638916,320.539948,130.481079,859.876526,320.364319,218.065033,819.604919,,,,300.939240,444.677979,815.172119,261.385620,437.225739,858.758972,277.990143,335.647278,864.796143,302.611725,522.294556,878.106445
65,0,275.147675,-34.559818,935.857056,332.306396,70.872238,818.625732,312.061401,65.483147,894.200867,320.746246,130.331390,859.207947,320.651642,217.807114,818.586853,,,,300.829956,444.412445,813.934570,261.350830,436.923767,857.602295,278.186676,335.408722,863.714111,302.515350,522.007263,876.862000
66,0,275.176422,-34.554398,935.818481,332.415649,70.600334,818.144287,312.185638,65.433281,893.753723,320.956024,130.173721,858.525513,320.944244,217.536362,817.548645,,,,300.721863,444.133179,812.674011,261.316956,436.607849,856.422791,278.387085,335.157593,862.610229,302.419464,521.706116,875.594116
67,0,275.206543,-34.549965,935.778931,332.527588,70.318794,817.653809,312.312378,65.378960,893.297424,321.169189,130.007874,857.829102,321.242126,217.252441,816.490417,,,,300.615051,443.839844,811.390625,261.284058,436.277588,855.220459,278.591309,334.893738,861.484497,302.324066,521.390442,874.302979
68,0,275.237946,-34.546562,935.738403,332.642120,70.027458,817.154602,312.441406,65.320023,892.831970,321.385864,129.833588,857.118591,321.545135,216.955048,815.412109,,,,300.509705,443.531982,810.084534,261.252228,435.932739,853.995239,278.799347,334.616638,860.336975,302.229279,521.060242,872.988403
69,0,275.270752,-34.544212,935.696960,332.759277,69.726128,816.646545,312.572937,65.256348,892.357361,321.605865,129.650665,856.394226,321.853210,216.643829,814.313782,,,,300.405945,443.209351,808.755615,261.221436,435.572876,852.747375,279.011230,334.326019,859.167603,302.135284,520.714905,871.650574
70,0,275.304932,-34.542934,935.654541,332.879089,69.414627,816.129639,312.706757,65.187782,891.873535,321.829193,129.458893,855.655701,322.166351,216.318420,813.195435,,,,300.303894,442.871460,807.404236,261.191864,435.197723,851.476562,279.226868,334.021576,857.976379,302.042175,520.354065,870.289368
71,0,275.340576,-34.542755,935.611084,333.001526,69.092796,815.603943,312.842987,65.114189,891.380493,322.055847,129.258011,854.903137,322.484497,215.978470,812.056946,,,,300.203735,442.518036,806.030334,261.163574,434.806885,850.182983,279.446350,333.702881,856.763306,301.950104,519.977539,868.905090
72,0,275.377625,-34.543705,935.566528,333.126526,68.760429,815.069641,312.981567,65.035431,890.878174,322.285706,129.047791,854.136597,322.807495,215.623688,810.898621,,,,300.105560,442.148682,804.634033,261.136597,434.400055,848.866760,279.669617,333.369690,855.528503,301.859070,519.584961,867.497681
73,0,275.416168,-34.545799,935.521057,333.254089,68.417381,814.526489,313.122467,64.951355,890.366760,322.518799,128.828049,853.355957,323.135254,215.253677,809.720337,,,,300.009552,441.763000,803.215515,261.110992,433.976868,847.527832,279.896576,333.021606,854.271973,301.769348,519.175842,866.067261
74,0,275.456146,-34.549057,935.474365,333.384247,68.063461,813.974792,313.265747,64.861809,889.846008,322.754944,128.598526,852.561218,323.467804,214.868134,808.522095,,,,299.915802,441.360718,801.774841,261.086853,433.537018,846.166321,280.127380,332.658295,852.993713,301.680939,518.749817,864.613953
75,0,275.497681,-34.553513,935.426636,333.516937,67.698509,813.414368,313.411255,64.766670,889.316162,322.994263,128.359039,851.752502,323.804901,214.466660,807.304199,,,,299.824432,440.941406,800.312378,261.064331,433.080139,844.782349,280.361816,332.279388,851.693970,301.594086,518.306763,863.137756
